data,servico,sentido,id_veiculo,datetime_partida,datetime_chegada,extensao,datetime_partida_gabarito,datetime_chegada_gabarito
2023-01-02,010,V,A72085,2023-01-02 20:10:48,2023-01-02 20:22:49,4.902,,
2023-01-02,010,V,A72037,2023-01-02 20:32:07,2023-01-02 20:46:27,4.902,,
2023-01-03,010,I,A72037,2023-01-03 06:05:09,2023-01-03 06:17:49,5.505,2023-01-03 06:03:00,2023-01-03 06:20:00
2023-01-03,010,V,A72037,2023-01-03 06:33:31,2023-01-03 06:47:31,4.902,2023-01-03 06:31:00,2023-01-03 06:57:00
2023-01-03,010,I,A72085,2023-01-03 06:34:06,2023-01-03 06:50:26,5.505,2023-01-03 06:32:00,2023-01-03 06:52:00
2023-01-03,010,I,A72037,2023-01-03 07:00:28,2023-01-03 07:14:08,5.505,2023-01-03 06:59:00,2023-01-03 07:16:00
2023-01-03,010,V,A72085,2023-01-03 07:02:01,2023-01-03 07:15:42,4.902,2023-01-03 06:58:00,2023-01-03 07:27:00
2023-01-03,010,V,A72037,2023-01-03 07:34:07,2023-01-03 07:47:47,4.902,2023-01-03 07:29:00,2023-01-03 07:56:00
2023-01-03,010,I,A72085,2023-01-03 07:35:13,2023-01-03 07:50:34,5.505,2023-01-03 07:33:00,2023-01-03 07:53:00
2023-01-03,010,I,A72037,2023-01-03 08:03:21,2023-01-03 08:18:21,5.505,2023-01-03 08:02:00,2023-01-03 08:20:00
2023-01-03,010,V,A72085,2023-01-03 08:03:53,2023-01-03 08:20:14,4.902,2023-01-03 07:59:00,2023-01-03 08:31:00
2023-01-03,010,V,A72037,2023-01-03 08:35:45,2023-01-03 08:54:46,4.902,2023-01-03 08:30:00,2023-01-03 09:01:00
2023-01-03,010,I,A72085,2023-01-03 08:37:34,2023-01-03 08:58:35,5.505,2023-01-03 08:35:00,2023-01-03 09:03:00
2023-01-03,010,I,A72037,2023-01-03 09:07:06,2023-01-03 09:24:47,5.505,2023-01-03 09:05:00,2023-01-03 09:28:00
2023-01-03,010,V,A72085,2023-01-03 09:11:35,2023-01-03 09:30:36,4.902,2023-01-03 09:06:00,2023-01-03 09:33:00
2023-01-03,010,V,A72037,2023-01-03 09:33:47,2023-01-03 09:47:08,4.902,2023-01-03 09:30:00,2023-01-03 10:03:00
2023-01-03,010,I,A72085,2023-01-03 09:39:56,2023-01-03 10:00:37,5.505,2023-01-03 09:36:00,2023-01-03 10:05:00
2023-01-03,010,I,A72037,2023-01-03 10:09:48,2023-01-03 10:28:29,5.505,2023-01-03 10:08:00,2023-01-03 10:30:00
2023-01-03,010,V,A72085,2023-01-03 10:12:18,2023-01-03 10:29:38,4.902,2023-01-03 10:07:00,2023-01-03 10:33:00
2023-01-03,010,V,A72037,2023-01-03 10:36:29,2023-01-03 10:52:50,4.902,2023-01-03 10:32:00,2023-01-03 11:02:00
2023-01-03,010,I,A72085,2023-01-03 10:42:38,2023-01-03 11:00:19,5.505,2023-01-03 10:40:00,2023-01-03 11:04:00
2023-01-03,010,V,A72085,2023-01-03 11:11:39,2023-01-03 11:27:40,4.902,2023-01-03 11:07:00,2023-01-03 11:30:00
2023-01-03,010,I,A72037,2023-01-03 11:11:50,2023-01-03 11:30:11,5.505,2023-01-03 11:07:00,2023-01-03 11:32:00
2023-01-03,010,V,A72037,2023-01-03 11:38:11,2023-01-03 11:50:12,4.902,2023-01-03 11:34:00,2023-01-03 11:56:00
2023-01-03,010,I,A72085,2023-01-03 11:39:40,2023-01-03 12:00:21,5.505,2023-01-03 11:36:00,2023-01-03 12:02:00
2023-01-03,010,I,A72037,2023-01-03 12:04:04,2023-01-03 12:21:44,5.505,2023-01-03 12:01:00,2023-01-03 12:25:00
2023-01-03,010,V,A72085,2023-01-03 12:09:21,2023-01-03 12:26:02,4.902,2023-01-03 12:04:00,2023-01-03 12:27:00
2023-01-03,010,I,A72085,2023-01-03 12:31:22,2023-01-03 12:48:43,5.505,2023-01-03 12:29:00,2023-01-03 12:50:00
2023-01-03,010,V,A72037,2023-01-03 12:37:43,2023-01-03 12:49:23,4.902,2023-01-03 12:32:00,2023-01-03 12:54:00
2023-01-03,010,V,A72085,2023-01-03 12:55:03,2023-01-03 13:09:43,4.902,2023-01-03 12:51:00,2023-01-03 13:24:00
2023-01-03,010,I,A72037,2023-01-03 13:00:52,2023-01-03 13:20:33,5.505,2023-01-03 12:57:00,2023-01-03 13:22:00
2023-01-03,010,I,A72085,2023-01-03 13:29:13,2023-01-03 13:50:33,5.505,2023-01-03 13:27:00,2023-01-03 13:53:00
2023-01-03,010,V,A72037,2023-01-03 13:33:54,2023-01-03 13:46:54,4.902,2023-01-03 13:31:00,2023-01-03 13:59:00
2023-01-03,010,V,A72085,2023-01-03 13:59:54,2023-01-03 14:17:54,4.902,2023-01-03 13:54:00,2023-01-03 14:26:00
2023-01-03,010,I,A72037,2023-01-03 14:02:31,2023-01-03 14:26:52,5.505,2023-01-03 14:00:00,2023-01-03 14:28:00
2023-01-03,010,I,A72085,2023-01-03 14:31:43,2023-01-03 14:57:04,5.505,2023-01-03 14:29:00,2023-01-03 15:00:00
2023-01-03,010,V,A72037,2023-01-03 14:37:22,2023-01-03 14:54:22,4.902,2023-01-03 14:33:00,2023-01-03 15:01:00
2023-01-03,010,I,A72037,2023-01-03 15:08:53,2023-01-03 15:30:13,5.505,2023-01-03 15:05:00,2023-01-03 15:37:00
2023-01-03,010,V,A72085,2023-01-03 15:11:54,2023-01-03 15:30:15,4.902,2023-01-03 15:07:00,2023-01-03 15:38:00
2023-01-03,010,V,A72037,2023-01-03 15:41:54,2023-01-03 15:55:35,4.902,2023-01-03 15:38:00,2023-01-03 16:02:00
2023-01-03,010,I,A72085,2023-01-03 15:42:46,2023-01-03 16:07:07,5.505,2023-01-03 15:40:00,2023-01-03 16:11:00
2023-01-03,010,I,A72037,2023-01-03 16:05:49,2023-01-03 16:32:30,5.505,2023-01-03 16:03:00,2023-01-03 16:35:00
2023-01-03,010,V,A72085,2023-01-03 16:17:47,2023-01-03 16:33:28,4.902,2023-01-03 16:13:00,2023-01-03 16:43:00
2023-01-03,010,V,A72037,2023-01-03 16:38:50,2023-01-03 16:54:31,4.902,2023-01-03 16:36:00,2023-01-03 17:09:00
2023-01-03,010,I,A72085,2023-01-03 16:45:38,2023-01-03 17:11:18,5.505,2023-01-03 16:44:00,2023-01-03 17:16:00
2023-01-03,010,V,A72085,2023-01-03 17:22:19,2023-01-03 17:41:19,4.902,2023-01-03 17:18:00,2023-01-03 17:59:00
2023-01-03,010,I,A72151,2023-01-03 17:51:34,2023-01-03 18:22:35,5.505,2023-01-03 17:50:00,2023-01-03 18:25:00
2023-01-03,010,I,A72085,2023-01-03 18:04:46,2023-01-03 18:55:08,5.505,2023-01-03 18:02:00,2023-01-03 18:59:00
2023-01-03,010,V,A72151,2023-01-03 18:30:36,2023-01-03 18:59:52,4.902,2023-01-03 18:27:00,2023-01-03 19:13:00
2023-01-03,010,V,A72085,2023-01-03 19:02:48,2023-01-03 20:01:50,4.902,2023-01-03 19:01:00,2023-01-03 20:16:00
2023-01-03,010,I,A72151,2023-01-03 19:30:25,2023-01-03 20:15:42,5.505,2023-01-03 19:19:00,2023-01-03 20:17:00
2023-01-03,010,V,A72151,2023-01-03 20:21:27,2023-01-03 20:45:28,4.902,2023-01-03 20:18:00,2023-01-03 21:00:00
2023-01-03,010,I,A72085,2023-01-03 20:24:26,2023-01-03 20:59:07,5.505,,
2023-01-03,010,V,A72085,2023-01-03 21:01:48,2023-01-03 21:12:48,4.902,,
2023-01-03,010,I,A72151,2023-01-03 21:04:37,2023-01-03 21:18:38,5.505,2023-01-03 21:03:00,2023-01-03 21:20:00
2023-01-03,010,I,A72085,2023-01-03 21:21:36,2023-01-03 21:35:16,5.505,2023-01-03 21:20:00,2023-01-03 21:36:00
2023-01-03,010,V,A72151,2023-01-03 21:24:38,2023-01-03 21:43:39,4.902,,
2023-01-03,010,V,A72085,2023-01-03 21:45:57,2023-01-03 21:56:58,4.902,2023-01-03 21:18:00,2023-01-03 21:37:00
2023-01-04,010,V,A72085,2023-01-04 07:01:53,2023-01-04 07:14:14,4.902,2023-01-04 06:59:00,2023-01-04 07:28:00
2023-01-04,010,I,A72085,2023-01-04 07:31:57,2023-01-04 07:48:17,5.505,2023-01-04 07:30:00,2023-01-04 07:50:00
2023-01-04,010,I,A72037,2023-01-04 08:03:10,2023-01-04 08:22:11,5.505,2023-01-04 08:01:00,2023-01-04 08:24:00
2023-01-04,010,V,A72085,2023-01-04 08:03:39,2023-01-04 08:22:40,4.902,2023-01-04 07:59:00,2023-01-04 08:29:00
2023-01-04,010,I,A72085,2023-01-04 08:34:00,2023-01-04 08:56:41,5.505,2023-01-04 08:32:00,2023-01-04 09:00:00
2023-01-04,010,V,A72037,2023-01-04 08:38:58,2023-01-04 08:57:58,4.902,2023-01-04 08:33:00,2023-01-04 09:03:00
