data,servico,sentido,id_veiculo,datetime_partida,datetime_chegada,extensao
2023-01-05,010,V,A72085,2023-01-05 11:01:00,2023-01-05 11:30:00,4.902
2023-01-05,010,I,A72037,2023-01-05 11:12:00,2023-01-05 11:43:00,5.505
2023-01-05,010,I,A72085,2023-01-05 11:31:00,2023-01-05 11:56:00,5.505
2023-01-05,010,V,A72037,2023-01-05 11:44:00,2023-01-05 12:10:00,4.902
2023-01-05,010,V,A72085,2023-01-05 12:01:00,2023-01-05 12:25:00,4.902
2023-01-05,010,I,A72037,2023-01-05 12:12:00,2023-01-05 12:43:00,5.505
2023-01-05,010,I,A72085,2023-01-05 12:27:00,2023-01-05 13:01:00,5.505
2023-01-05,010,V,A72037,2023-01-05 12:45:00,2023-01-05 13:15:00,4.902
2023-01-05,010,V,A72085,2023-01-05 13:11:00,2023-01-05 13:54:00,4.902
2023-01-05,010,I,A72037,2023-01-05 13:18:00,2023-01-05 13:47:00,5.505
2023-01-05,010,V,A72037,2023-01-05 13:50:00,2023-01-05 14:25:00,4.902
2023-01-05,010,I,A72085,2023-01-05 13:54:00,2023-01-05 14:27:00,5.505
2023-01-05,010,V,A72085,2023-01-05 14:29:00,2023-01-05 14:56:00,4.902
2023-01-05,010,I,A72037,2023-01-05 14:30:00,2023-01-05 14:59:00,5.505
2023-01-05,010,I,A72085,2023-01-05 14:59:00,2023-01-05 15:23:00,5.505
2023-01-05,010,V,A72037,2023-01-05 15:00:00,2023-01-05 15:31:00,4.902
2023-01-05,010,V,A72085,2023-01-05 15:24:00,2023-01-05 15:50:00,4.902
2023-01-05,010,I,A72037,2023-01-05 15:34:00,2023-01-05 16:02:00,5.505
2023-01-05,010,I,A72085,2023-01-05 15:51:00,2023-01-05 16:21:00,5.505
2023-01-05,010,V,A72037,2023-01-05 16:04:00,2023-01-05 16:34:00,4.902
2023-01-05,010,V,A72085,2023-01-05 16:22:00,2023-01-05 16:54:00,4.902
2023-01-05,010,I,A72037,2023-01-05 16:37:00,2023-01-05 17:04:00,5.505
2023-01-05,010,I,A72085,2023-01-05 16:56:00,2023-01-05 17:35:00,5.505
2023-01-05,010,V,A72037,2023-01-05 17:06:00,2023-01-05 17:45:00,4.902
2023-01-05,010,V,A72085,2023-01-05 17:37:00,2023-01-05 18:04:00,4.902
2023-01-05,010,I,A72037,2023-01-05 17:46:00,2023-01-05 18:34:00,5.505
2023-01-05,010,I,A72085,2023-01-05 18:06:00,2023-01-05 18:45:00,5.505
2023-01-05,010,V,A72037,2023-01-05 18:35:00,2023-01-05 19:09:00,4.902
2023-01-05,010,V,A72085,2023-01-05 18:47:00,2023-01-05 19:27:00,4.902
2023-01-05,010,I,A72037,2023-01-05 19:11:00,2023-01-05 19:43:00,5.505
2023-01-05,010,I,A72085,2023-01-05 19:29:00,2023-01-05 19:51:00,5.505
2023-01-05,010,V,A72037,2023-01-05 19:45:00,2023-01-05 20:05:00,4.902
2023-01-05,010,V,A72085,2023-01-05 19:57:00,2023-01-05 20:23:00,4.902
2023-01-05,010,I,A72037,2023-01-05 20:06:00,2023-01-05 20:27:00,5.505
2023-01-05,010,I,A72085,2023-01-05 20:25:00,2023-01-05 20:45:00,5.505
2023-01-05,010,V,A72037,2023-01-05 20:30:00,2023-01-05 20:52:00,4.902
2023-01-06,010,I,A72037,2023-01-06 06:05:00,2023-01-06 06:20:00,5.505
2023-01-06,010,V,A72037,2023-01-06 06:31:00,2023-01-06 07:00:00,4.902
2023-01-06,010,I,A72085,2023-01-06 06:36:00,2023-01-06 06:54:00,5.505
2023-01-06,010,V,A72085,2023-01-06 06:59:00,2023-01-06 07:27:00,4.902
2023-01-06,010,I,A72037,2023-01-06 07:08:00,2023-01-06 07:26:00,5.505
2023-01-06,010,V,A72037,2023-01-06 07:29:00,2023-01-06 08:04:00,4.902
2023-01-06,010,I,A72085,2023-01-06 07:32:00,2023-01-06 07:58:00,5.505
2023-01-06,010,V,A72085,2023-01-06 08:01:00,2023-01-06 08:28:00,4.902
2023-01-06,010,I,A72037,2023-01-06 08:10:00,2023-01-06 08:31:00,5.505
2023-01-06,010,V,A72037,2023-01-06 08:33:00,2023-01-06 09:04:00,4.902
2023-01-06,010,I,A72085,2023-01-06 08:36:00,2023-01-06 08:58:00,5.505
2023-01-06,010,V,A72085,2023-01-06 09:01:00,2023-01-06 09:33:00,4.902
2023-01-06,010,I,A72037,2023-01-06 09:08:00,2023-01-06 09:35:00,5.505
2023-01-06,010,I,A72085,2023-01-06 09:34:00,2023-01-06 09:58:00,5.505
2023-01-06,010,V,A72037,2023-01-06 09:37:00,2023-01-06 10:14:00,4.902
2023-01-06,010,V,A72085,2023-01-06 09:59:00,2023-01-06 10:31:00,4.902
2023-01-06,010,I,A72037,2023-01-06 10:18:00,2023-01-06 10:40:00,5.505
2023-01-06,010,I,A72085,2023-01-06 10:34:00,2023-01-06 10:58:00,5.505
2023-01-06,010,V,A72037,2023-01-06 10:42:00,2023-01-06 11:11:00,4.902
2023-01-06,010,V,A72085,2023-01-06 11:00:00,2023-01-06 11:31:00,4.902
2023-01-06,010,I,A72037,2023-01-06 11:16:00,2023-01-06 11:46:00,5.505
2023-01-06,010,I,A72085,2023-01-06 11:35:00,2023-01-06 11:58:00,5.505
2023-01-06,010,V,A72037,2023-01-06 11:48:00,2023-01-06 12:17:00,4.902
2023-01-06,010,V,A72085,2023-01-06 11:59:00,2023-01-06 12:22:00,4.902
2023-01-06,010,I,A72037,2023-01-06 12:19:00,2023-01-06 12:46:00,5.505
2023-01-06,010,I,A72085,2023-01-06 12:25:00,2023-01-06 12:51:00,5.505
2023-01-06,010,V,A72037,2023-01-06 12:47:00,2023-01-06 13:10:00,4.902
2023-01-06,010,V,A72085,2023-01-06 13:02:00,2023-01-06 13:34:00,4.902
2023-01-06,010,I,A72037,2023-01-06 13:13:00,2023-01-06 13:40:00,5.505
2023-01-06,010,I,A72085,2023-01-06 13:36:00,2023-01-06 14:04:00,5.505
2023-01-06,010,V,A72037,2023-01-06 13:42:00,2023-01-06 14:14:00,4.902
2023-01-06,010,V,A72085,2023-01-06 14:07:00,2023-01-06 14:31:00,4.902
2023-01-06,010,I,A72037,2023-01-06 14:16:00,2023-01-06 14:45:00,5.505
2023-01-06,010,I,A72085,2023-01-06 14:33:00,2023-01-06 15:03:00,5.505
2023-01-06,010,V,A72037,2023-01-06 14:46:00,2023-01-06 15:12:00,4.902
2023-01-06,010,V,A72085,2023-01-06 15:05:00,2023-01-06 15:32:00,4.902
2023-01-06,010,I,A72037,2023-01-06 15:14:00,2023-01-06 15:44:00,5.505
2023-01-06,010,I,A72085,2023-01-06 15:35:00,2023-01-06 16:03:00,5.505
2023-01-06,010,V,A72037,2023-01-06 15:47:00,2023-01-06 16:16:00,4.902
2023-01-06,010,V,A72085,2023-01-06 16:07:00,2023-01-06 16:39:00,4.902
2023-01-06,010,I,A72037,2023-01-06 16:18:00,2023-01-06 16:47:00,5.505
2023-01-06,010,I,A72085,2023-01-06 16:41:00,2023-01-06 17:09:00,5.505
2023-01-06,010,V,A72037,2023-01-06 16:49:00,2023-01-06 17:11:00,4.902
2023-01-06,010,V,A72085,2023-01-06 17:11:00,2023-01-06 17:43:00,4.902
2023-01-06,010,I,A72037,2023-01-06 17:13:00,2023-01-06 17:40:00,5.505
2023-01-06,010,I,A72085,2023-01-06 17:45:00,2023-01-06 18:17:00,5.505
2023-01-06,010,V,A72037,2023-01-06 17:46:00,2023-01-06 18:17:00,4.902
2023-01-06,010,I,A72037,2023-01-06 18:18:00,2023-01-06 18:55:00,5.505
2023-01-06,010,V,A72085,2023-01-06 18:19:00,2023-01-06 18:49:00,4.902
2023-01-06,010,V,A72037,2023-01-06 18:57:00,2023-01-06 19:21:00,4.902
2023-01-06,010,V,A72085,2023-01-06 19:16:00,2023-01-06 19:52:00,4.902
2023-01-06,010,I,A72037,2023-01-06 19:23:00,2023-01-06 19:45:00,5.505
2023-01-06,010,V,A72037,2023-01-06 19:46:00,2023-01-06 20:07:00,4.902
2023-01-06,010,I,A72037,2023-01-06 20:10:00,2023-01-06 20:31:00,5.505
2023-01-06,010,V,A72037,2023-01-06 20:38:00,2023-01-06 21:03:00,4.902
2023-01-06,010,I,A72037,2023-01-06 21:04:00,2023-01-06 21:29:00,5.505
2023-01-07,010,I,A72037,2023-01-07 06:06:00,2023-01-07 06:21:00,5.505
2023-01-07,010,V,A72037,2023-01-07 06:34:00,2023-01-07 06:56:00,4.902
2023-01-07,010,I,A72037,2023-01-07 07:05:00,2023-01-07 07:22:00,5.505
2023-01-07,010,I,A72085,2023-01-07 07:30:00,2023-01-07 07:49:00,5.505
2023-01-07,010,V,A72037,2023-01-07 07:33:00,2023-01-07 08:00:00,4.902
2023-01-07,010,V,A72085,2023-01-07 07:59:00,2023-01-07 08:34:00,4.902
2023-01-07,010,I,A72037,2023-01-07 08:03:00,2023-01-07 08:19:00,5.505
2023-01-07,010,V,A72037,2023-01-07 08:27:00,2023-01-07 09:02:00,4.902
2023-01-07,010,I,A72085,2023-01-07 08:41:00,2023-01-07 08:58:00,5.505
2023-01-07,010,V,A72085,2023-01-07 09:00:00,2023-01-07 09:30:00,4.902
2023-01-07,010,I,A72037,2023-01-07 09:05:00,2023-01-07 09:34:00,5.505
2023-01-07,010,I,A72085,2023-01-07 09:39:00,2023-01-07 10:01:00,5.505
2023-01-07,010,V,A72037,2023-01-07 09:40:00,2023-01-07 09:58:00,4.902
2023-01-07,010,V,A72085,2023-01-07 10:08:00,2023-01-07 10:33:00,4.902
2023-01-07,010,I,A72037,2023-01-07 10:09:00,2023-01-07 10:33:00,5.505
2023-01-07,010,V,A72037,2023-01-07 10:34:00,2023-01-07 10:56:00,4.902
2023-01-07,010,I,A72085,2023-01-07 10:42:00,2023-01-07 11:06:00,5.505
2023-01-07,010,I,A72037,2023-01-07 10:58:00,2023-01-07 11:20:00,5.505
2023-01-07,010,V,A72085,2023-01-07 11:11:00,2023-01-07 11:37:00,4.902
2023-01-07,010,V,A72037,2023-01-07 11:32:00,2023-01-07 12:02:00,4.902
2023-01-07,010,I,A72085,2023-01-07 11:41:00,2023-01-07 12:06:00,5.505
2023-01-07,010,I,A72037,2023-01-07 12:05:00,2023-01-07 12:36:00,5.505
2023-01-07,010,V,A72085,2023-01-07 12:07:00,2023-01-07 12:32:00,4.902
2023-01-07,010,I,A72085,2023-01-07 12:33:00,2023-01-07 13:07:00,5.505
2023-01-07,010,V,A72037,2023-01-07 12:38:00,2023-01-07 13:17:00,4.902
2023-01-07,010,V,A72085,2023-01-07 13:09:00,2023-01-07 13:30:00,4.902
2023-01-07,010,I,A72037,2023-01-07 13:20:00,2023-01-07 13:49:00,5.505
2023-01-07,010,I,A72085,2023-01-07 13:31:00,2023-01-07 13:55:00,5.505
2023-01-07,010,V,A72037,2023-01-07 13:52:00,2023-01-07 14:17:00,4.902
