,data,servico,id_veiculo_amostra,hora_inicio,hora_fim,sentido_amostra,datetime_partida_amostra,datetime_chegada_amostra,status,servico_informado,id_veiculo_apurada,sentido_apurada,datetime_partida_apurada,datetime_chegada_apurada
38,2023-07-11,844,47689,15:00:00,15:09:00,V,2023-07-11 15:00:00,2023-07-11 15:09:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 15:01:30,2023-07-11 15:15:30
39,2023-07-11,844,47689,15:23:00,15:28:00,V,2023-07-11 15:23:00,2023-07-11 15:28:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 15:24:00,2023-07-11 15:34:00
40,2023-07-11,844,47689,15:42:00,15:48:00,V,2023-07-11 15:42:00,2023-07-11 15:48:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 15:43:30,2023-07-11 15:52:30
41,2023-07-11,844,47689,16:01:00,16:08:00,V,2023-07-11 16:01:00,2023-07-11 16:08:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 16:02:00,2023-07-11 16:12:30
42,2023-07-11,844,47689,16:19:00,16:25:00,V,2023-07-11 16:19:00,2023-07-11 16:25:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 16:20:30,2023-07-11 16:28:30
43,2023-07-11,844,47689,16:34:00,16:43:00,V,2023-07-11 16:34:00,2023-07-11 16:43:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 16:35:00,2023-07-11 16:51:00
44,2023-07-11,844,47689,17:04:00,17:13:00,V,2023-07-11 17:04:00,2023-07-11 17:13:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 17:05:30,2023-07-11 17:20:00
45,2023-07-11,844,47689,17:27:00,17:36:00,V,2023-07-11 17:27:00,2023-07-11 17:36:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 17:29:00,2023-07-11 17:42:00
46,2023-07-11,844,47689,17:50:00,18:03:00,V,2023-07-11 17:50:00,2023-07-11 18:03:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 17:52:00,2023-07-11 18:17:00
47,2023-07-11,844,47689,18:26:00,18:38:00,V,2023-07-11 18:26:00,2023-07-11 18:38:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 18:28:00,2023-07-11 18:46:30
48,2023-07-19,844,47689,10:29:00,10:37:00,V,2023-07-19 10:29:00,2023-07-19 10:37:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 10:31:09,2023-07-19 10:43:39
49,2023-07-19,844,47689,10:50:00,10:57:00,V,2023-07-19 10:50:00,2023-07-19 10:57:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 10:52:09,2023-07-19 11:04:39
50,2023-07-19,844,47689,11:10:00,11:17:00,V,2023-07-19 11:10:00,2023-07-19 11:17:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 11:11:39,2023-07-19 11:28:09
51,2023-07-19,844,47689,11:34:00,11:40:00,V,2023-07-19 11:34:00,2023-07-19 11:40:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 11:35:09,2023-07-19 11:49:09
52,2023-07-19,844,47689,11:54:00,12:00:00,V,2023-07-19 11:54:00,2023-07-19 12:00:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 11:56:39,2023-07-19 12:09:09
53,2023-07-19,844,47689,12:16:00,12:23:00,V,2023-07-19 12:16:00,2023-07-19 12:23:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 12:17:39,2023-07-19 12:33:09
54,2023-07-19,844,47689,12:39:00,12:45:00,V,2023-07-19 12:39:00,2023-07-19 12:45:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 12:40:09,2023-07-19 12:56:39
55,2023-07-19,844,47689,13:04:00,13:10:00,V,2023-07-19 13:04:00,2023-07-19 13:10:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 13:05:09,2023-07-19 13:18:39
